Table S2: Genes with known subtype or layer specific expression used to validate RNA-Seq data,
ma,Entrez Gene ID
Adcyap1,11516
Akap12,83397
Btg1,12226
C1ql3,227580
Cav1,12389
Cblb,208650
Cdh10,320873
Cdh13,12554
Cdh22,104010
Cdh9,12565
Cited2,17684
Cntn6,53870
Col5a1,12831
Col9a3,12841
Cpne4,74020
Crym,12971
Cyp2u1,71519
Dclk3,245038
Diap3,56419
Dkk3,50781
Dtx4,207521
Eif2b1,209354
Eif4ebp1,13685
Elovl7,74559
Ephb1,270190
Fabp5,16592
Fam84a,105005
Far2,330450
Foxp2,114142
Galnt9,231605
Galntl6,270049
Glra2,237213
Gmpr,66355
Gng7,14708
Gpr176,381413
Gpr6,140741
Gprc5b,64297
Grb14,50915
Gria4,14802
Grik2,14806
Grp,225642
Gucy1a3,60596
Id2,15902
Ifi27l1,52668
Igfbp4,16010
Irf6,54139
Itm2a,16431
Kcnh1,16510
Kctd12 ,207474
Kitl,17311
Lum,17022
Mc4r,17202
Mgst3,66447
Nefh,380684
Neto1,246317
Nptx1,18164
Nr4a2,18227
Ntng1,80883
Opn3,13603
Pappa2,23850
Parm1,231440
Pcsk5,18552
Pdzrn3,55983
Pex5l,58869
Ppargc1a,19017
Ppp1r1b,19049
Pthlh,19227
Ptprk,19272
Pvrl3,58998
Ramp3,56089
Rasgrp2,19395
Rgmb,68799
Rgs16,19734
Rgs8,67792
Robo1,19876
Rprm,67874
Rspo2,239405
Rwdd2a,69519
Sdk2,237979
Sema3c,20348
Slc35f2,72022
Slc8a3,110893
Snx25,102141
Snx25,102141
Stbd1,52331
Stk39,53416
Stxbp6,217517
Syt9,60510
Tdo2,56720
Tes,21753
Tle1,21885
Tle3,21887
Tmem117,320709
Tmem159,233806
Tmem163,72160
Tmem47,192216
Tshz2,228911
Unc5b,107449
Wnt5a,22418
Zfp521,225207
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
